equipamento;logradouro;horainicio;horafinal;quant000-009;porcentagem000-009;quant010-019;porcentagem010-019;quant020-029;porcentagem020-029;quant030-039;porcentagem030-039;quant040-049;porcentagem040-049;quant050-059;porcentagem050-059;quant060-069;porcentagem060-069;quant070-079;porcentagem070-079;quant080-089;porcentagem080-089;quant090-099;porcentagem090-099;quant100-200;porcentagem100-200;quanttotal;porcentagemtotal
CTTU-4126 (3CG) do equipamento D23CG000;AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888 - SENTIDO CENTRO;00:00;01:00;1;0,07;17;0,18;220;0,47;788;0,3;3037;0,91;3656;4,1;840;13,42;335;19,03;155;18,19;64;17,25;56;20,66;9169;1,22
CTTU-4126 (3CG) do equipamento D23CG000;AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888 - SENTIDO CENTRO;01:00;02:00;3;0,22;20;0,21;179;0,38;617;0,24;1752;0,52;2258;2,53;666;10,64;297;16,88;171;20,07;77;20,75;59;21,77;6099;0,81
CTTU-4126 (3CG) do equipamento D23CG000;AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888 - SENTIDO CENTRO;02:00;03:00;1;0,07;10;0,1;106;0,23;513;0,2;1234;0,37;1544;1,73;542;8,66;317;18,01;169;19,84;70;18,87;60;22,14;4566;0,61
CTTU-4126 (3CG) do equipamento D23CG000;AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888 - SENTIDO CENTRO;03:00;04:00;1;0,07;3;0,03;30;0,06;265;0,1;1263;0,38;1500;1,68;538;8,6;277;15,74;167;19,6;86;23,18;46;16,97;4176;0,56
CTTU-4126 (3CG) do equipamento D23CG000;AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888 - SENTIDO CENTRO;04:00;05:00;0;0;6;0,06;44;0,09;411;0,16;1718;0,51;2084;2,34;516;8,25;231;13,13;114;13,38;54;14,56;28;10,33;5206;0,69
CTTU-4126 (3CG) do equipamento D23CG000;AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888 - SENTIDO CENTRO;05:00;06:00;0;0;13;0,14;34;0,07;636;0,25;5689;1,7;5224;5,86;475;7,59;58;3,3;20;2,35;6;1,62;5;1,85;12160;1,62
CTTU-4126 (3CG) do equipamento D23CG000;AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888 - SENTIDO CENTRO;06:00;07:00;3;0,22;28;0,29;106;0,23;3276;1,26;19008;5,69;8684;9,74;329;5,26;18;1,02;0;0;1;0,27;0;0;31453;4,19
CTTU-4126 (3CG) do equipamento D23CG000;AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888 - SENTIDO CENTRO;07:00;08:00;119;8,89;878;9,16;2409;5,12;12715;4,91;22558;6,75;6140;6,89;171;2,73;6;0,34;1;0,12;0;0;0;0;44997;6
CTTU-4126 (3CG) do equipamento D23CG000;AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888 - SENTIDO CENTRO;08:00;09:00;93;6,95;788;8,22;2862;6,09;15146;5,85;21607;6,46;4888;5,48;144;2,3;2;0,11;0;0;0;0;1;0,37;45531;6,07
CTTU-4126 (3CG) do equipamento D23CG000;AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888 - SENTIDO CENTRO;09:00;10:00;46;3,44;347;3,62;2008;4,27;15582;6,02;21248;6,36;4564;5,12;135;2,16;5;0,28;0;0;1;0,27;0;0;43936;5,86
CTTU-4126 (3CG) do equipamento D23CG000;AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888 - SENTIDO CENTRO;10:00;11:00;42;3,14;304;3,17;1903;4,05;15689;6,06;20965;6,27;3992;4,48;100;1,6;6;0,34;0;0;0;0;1;0,37;43002;5,73
CTTU-4126 (3CG) do equipamento D23CG000;AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888 - SENTIDO CENTRO;11:00;12:00;19;1,42;224;2,34;1335;2,84;13630;5,26;21294;6,37;4658;5,22;136;2,17;5;0,28;1;0,12;0;0;0;0;41302;5,51
CTTU-4126 (3CG) do equipamento D23CG000;AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888 - SENTIDO CENTRO;12:00;13:00;18;1,35;141;1,47;958;2,04;10995;4,24;22987;6,88;5722;6,42;183;2,92;4;0,23;0;0;0;0;1;0,37;41009;5,47
CTTU-4126 (3CG) do equipamento D23CG000;AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888 - SENTIDO CENTRO;13:00;14:00;21;1,57;145;1,51;1051;2,23;11125;4,29;23461;7,02;5895;6,61;176;2,81;15;0,85;1;0,12;0;0;0;0;41890;5,59
